book_id,title,authors,categories,stress_category,stress_level_target,mood_tag,description,thumbnail,average_rating,ratings_count,num_pages,reading_duration_minutes,reading_duration_category,language,source
BOOK001,The Anxiety and Worry Workbook,Clark & Beck,"Self Help, Psychology",Umum,Berat,Cemas,Practical CBT-based strategies to overcome anxiety and excessive worry in daily life.,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,3200,256,384,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK002,Feeling Good: The New Mood Therapy,David D. Burns,"Psychology, Self Help",Umum,Berat,Sedih,Evidence-based cognitive therapy techniques to defeat depression and feel good again.,http://books.google.com/books/content?id=RYOZBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,52000,736,1104,Panjang (>9 jam),English,GoogleBooks_7K
BOOK003,The Stress-Proof Brain,Melanie Greenberg,"Self Help, Mental Health",Umum,Berat,Butuh Ketenangan,"Master your emotional response to stress using mindfulness, neuroscience, and CBT.",http://books.google.com/books/content?id=KFwqDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,1800,256,384,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK004,Mindfulness for Beginners,Jon Kabat-Zinn,"Mindfulness, Self Help",Umum,Ringan,Butuh Ketenangan,Introduction to mindfulness meditation to reduce stress and cultivate awareness.,http://books.google.com/books/content?id=JEWfCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,9800,144,216,Singkat (<4 jam),English,GoogleBooks_7K
BOOK005,The Power of Now,Eckhart Tolle,"Spirituality, Self Help, Mindfulness",Umum,Sedang,Butuh Ketenangan,A guide to spiritual enlightenment through living fully in the present moment.,http://books.google.com/books/content?id=EVtnkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,148000,236,354,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK006,Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,"Self Help, Psychology, Health",Umum,Berat,Stres Kerja,Science-based strategies to complete the stress cycle and prevent burnout.,http://books.google.com/books/content?id=tWp3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,24000,304,456,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK007,The Gifts of Imperfection,Brené Brown,"Self Help, Psychology",Umum,Ringan,Umum,Let go of who you think you should be and embrace who you are through vulnerability.,http://books.google.com/books/content?id=cDgaLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,87000,160,240,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK008,Daring Greatly,Brené Brown,"Self Help, Leadership","Pekerjaan, Umum",Sedang,Umum,"How the courage to be vulnerable transforms the way we live, love, parent, and lead.",http://books.google.com/books/content?id=R9nkl3lDWTQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,76000,320,480,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK009,When Panic Attacks,David D. Burns,"Psychology, Self Help",Umum,Berat,Cemas,New drug-free anxiety therapy that can change your life.,http://books.google.com/books/content?id=RXm3PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,8500,464,696,Panjang (>9 jam),English,GoogleBooks_7K
BOOK010,Lost Connections,Johann Hari,"Psychology, Mental Health, Self Help",Umum,Berat,Sedih,Uncovering the real causes of depression and the unexpected solutions.,http://books.google.com/books/content?id=nkZBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,18000,336,504,Sedang (4-9 jam),English,GoogleBooks_7K
